nombre
ADMI
AFIN
ANTR
ARQT
ARQU
ARTE
ARTI
AUTO
BCOM
BIOL
CBCA
CBCC
CBCO
CBIO
CBPC
CHNA
CIDE
CISO
CONT
CPER
CPOL
DADM
DCOM
DDER
DECA
DEIN
DEMP
DENI
DEPI
DEPO
DEPR
DERE
DGGJ
DGIT
DISE
DISO
DLIT
DMIN
DPRO
DPUB
DPUC
ECON
EDUC
EECO
EGOB
EINT
EMAT
EMBA
ENEG
EPAH
EPID
ESCR
ETRI
FARH
ICYA
IDOC
IELE
IIND
IING
IMEC
IMER
INTL
IQUI
ISIS
LEGI
LENG
LITE
MADM
MAIA
MART
MATE
MBAE
MBIO
MBIT
MCLA
MDER
MDIS
MECA
MECU
MEDI
MFIN
MGAD
MGAP
MGEO
MGIT
MGLO
MGPA
MGPD
MGPU
MHAR
MIFI
MIIA
MIID
MINE
MINT
MISO
MISW
MLIT
MMER
MMUS
MPAZ
MPCU
MPER
MPET
MSCM
MSIN
MTRI
MTRM
MUSI
PATO
PEDI
PMED
PSCL
PSIC
QUIM
SOCI
SPUB
STRA
VICE
HIST
FILO
ICIV
IBIO
FISI
HART
